datetime,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,casual,registered,count,year,month,day,wday,hour,registered_prevPred_4,registered_prevPred_3,registered_prevPred_2,registered_prevPred_1,casual_prevPred_4,casual_prevPred_3,casual_prevPred_2,casual_prevPred_1,count_prevPred_4,count_prevPred_3,count_prevPred_2,count_prevPred_1
2011-01-01 00:00:00,1,1,1,1,9.84,14.395,81,0,1.38629436111989,2.63905732961526,2.83321334405622,2011,1,1,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2011-01-01 01:00:00,1,1,1,1,9.02,13.635,80,0,2.19722457733622,3.49650756146648,3.71357206670431,2011,1,1,7,1,2.63905732961526,2.63905732961526,2.63905732961526,2.63905732961526,1.38629436111989,1.38629436111989,1.38629436111989,1.38629436111989,2.83321334405622,2.83321334405622,2.83321334405622,2.83321334405622
2011-01-01 02:00:00,1,1,1,1,9.02,13.635,80,0,1.79175946922805,3.3322045101752,3.49650756146648,2011,1,1,7,2,3.06778244554087,3.06778244554087,2.63905732961526,3.49650756146648,1.79175946922805,1.79175946922805,1.38629436111989,2.19722457733622,3.27339270538026,3.27339270538026,2.83321334405622,3.71357206670431
2011-01-01 03:00:00,1,1,1,1,9.84,14.395,75,0,1.38629436111989,2.39789527279837,2.63905732961526,2011,1,1,7,3,3.15592313375231,2.63905732961526,3.49650756146648,3.3322045101752,1.79175946922805,1.38629436111989,2.19722457733622,1.79175946922805,3.34776432407567,2.83321334405622,3.71357206670431,3.49650756146648
2011-01-01 04:00:00,1,1,1,1,9.84,14.395,75,0,0,0.693147180559945,0.693147180559945,2011,1,1,7,4,2.63905732961526,3.49650756146648,3.3322045101752,2.39789527279837,1.38629436111989,2.19722457733622,1.79175946922805,1.38629436111989,2.83321334405622,3.71357206670431,3.49650756146648,2.63905732961526
2011-01-01 05:00:00,1,1,1,2,9.84,12.88,75,6.0032,0,0.693147180559945,0.693147180559945,2011,1,1,7,5,3.49650756146648,3.3322045101752,2.39789527279837,0.693147180559945,2.19722457733622,1.79175946922805,1.38629436111989,0,3.71357206670431,3.49650756146648,2.63905732961526,0.693147180559945
2011-01-01 06:00:00,1,1,1,1,9.02,13.635,80,0,1.09861228866811,0,1.09861228866811,2011,1,1,7,6,3.3322045101752,2.39789527279837,0.693147180559945,0.693147180559945,1.79175946922805,1.38629436111989,0,0,3.49650756146648,2.63905732961526,0.693147180559945,0.693147180559945
2011-01-01 07:00:00,1,1,1,1,8.2,12.88,86,0,0.693147180559945,1.09861228866811,1.38629436111989,2011,1,1,7,7,2.39789527279837,0.693147180559945,0.693147180559945,0,1.38629436111989,0,0,1.09861228866811,2.63905732961526,0.693147180559945,0.693147180559945,1.09861228866811
2011-01-01 08:00:00,1,1,1,1,9.84,14.395,75,0,0.693147180559945,2.07944154167984,2.19722457733622,2011,1,1,7,8,0.693147180559945,0.693147180559945,0,1.09861228866811,0,0,1.09861228866811,0.693147180559945,0.693147180559945,0.693147180559945,1.09861228866811,1.38629436111989
2011-01-01 09:00:00,1,1,1,1,13.12,17.425,76,0,2.19722457733622,1.94591014905531,2.70805020110221,2011,1,1,7,9,0.693147180559945,0,1.09861228866811,2.07944154167984,0,1.09861228866811,0.693147180559945,0.693147180559945,0.693147180559945,1.09861228866811,1.38629436111989,2.19722457733622
