season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count,year,month,day,wday,hour
summer,no,no,clear,22.14,25.76,18,19.9995,6.24997524225948,2012,4,7,7,18
fall,no,no,clear,29.52,33.335,51,11.0014,5.30826769740121,2011,7,2,7,22
summer,no,no,clear,18.04,21.97,94,16.9979,4.06044301054642,2011,4,10,1,22
spring,no,yes,clear,18.86,22.725,72,26.0027,4.51085950651685,2012,1,17,3,22
spring,no,no,cloudy,17.22,21.21,67,16.9979,5.7037824746562,2012,3,3,7,12
spring,no,yes,cloudy,18.04,21.97,77,0,5.33753807970132,2012,3,16,6,11
fall,no,no,cloudy,27.06,31.06,74,0,5.6021188208797,2012,8,19,1,9
spring,no,no,clear,4.92,6.82,54,12.998,4.51085950651685,2012,1,15,1,9
winter,no,yes,cloudy,22.96,26.515,73,16.9979,3.89182029811063,2012,10,15,2,0
summer,no,yes,clear,22.14,25.76,37,26.0027,5.605802066296,2012,5,10,5,15
spring,no,no,clear,5.74,7.575,50,8.9981,1.38629436111989,2012,1,14,7,4
spring,no,yes,clear,17.22,21.21,32,19.9995,5.73009978297357,2012,2,17,6,16
summer,no,no,cloudy,29.52,34.09,62,0,5.01727983681492,2011,6,18,7,23
fall,no,no,cloudy,27.06,31.06,36,15.0013,6.66440902035041,2012,9,15,7,16
spring,no,no,clear,9.84,10.605,41,19.0012,4.65396035015752,2011,1,16,1,12
summer,no,yes,clear,17.22,21.21,47,30.0026,5.34710753071747,2012,4,2,2,11
summer,no,no,cloudy,22.96,26.515,46,8.9981,5.77455154554441,2012,4,14,7,20
spring,no,no,clear,5.74,7.575,86,8.9981,3.43398720448515,2011,2,12,7,8
winter,no,yes,cloudy,12.3,14.395,49,15.0013,6.47543271670409,2012,11,5,2,8
spring,no,yes,cloudy,10.66,13.635,56,7.0015,4.39444915467244,2012,1,9,2,13
fall,no,yes,clear,29.52,33.335,54,0,5.7037824746562,2012,7,13,6,21
fall,no,yes,cloudy,27.88,31.82,83,12.998,1.38629436111989,2012,8,14,3,3
summer,no,yes,lightRainOrSnow,22.14,25.76,88,16.9979,4.0943445622221,2012,5,14,2,10
summer,no,yes,clear,20.5,24.24,63,7.0015,4.97673374242057,2012,4,19,5,23
fall,no,yes,cloudy,27.88,31.82,83,6.0032,1.94591014905531,2011,7,6,4,4
summer,no,no,clear,23.78,27.275,56,8.9981,4.92725368515721,2012,6,16,7,0
fall,no,no,clear,34.44,41.665,59,12.998,5.39816270151775,2012,7,7,7,22
winter,no,yes,cloudy,23.78,27.275,83,15.0013,5.45958551414416,2011,10,11,3,20
spring,no,no,cloudy,15.58,19.695,76,15.0013,3.04452243772342,2011,1,2,1,9
fall,no,yes,clear,20.5,24.24,59,0,4.84418708645859,2011,9,16,6,23
fall,no,yes,clear,28.7,32.575,61,0,3.58351893845611,2012,7,3,3,5
winter,no,no,clear,14.76,18.94,77,0,5.61312810638807,2012,11,11,1,9
summer,no,no,clear,30.34,33.335,51,0,5.98645200528444,2011,6,19,1,17
fall,no,no,clear,33.62,38.635,52,30.0026,6.44094654063292,2012,9,8,7,14
summer,no,no,clear,28.7,32.575,58,6.0032,6.35610766069589,2012,5,5,7,11
summer,no,yes,cloudy,28.7,31.82,45,26.0027,5.54517744447956,2012,6,13,4,13
spring,no,no,cloudy,13.94,15.15,39,23.9994,4.31748811353631,2012,2,19,1,0
winter,no,yes,cloudy,18.86,22.725,67,26.0027,4.69134788222914,2011,11,10,5,11
summer,no,yes,cloudy,22.96,26.515,88,0,5.75574221358691,2012,5,2,4,9
winter,no,yes,cloudy,13.12,15.15,49,19.9995,4.84418708645859,2012,11,7,4,21
winter,no,yes,cloudy,10.66,12.12,60,16.9979,4.85981240436167,2012,12,12,4,6
summer,no,yes,cloudy,17.22,21.21,77,16.9979,4.67282883446191,2011,4,13,4,14
summer,no,no,clear,26.24,28.79,83,8.9981,4.85981240436167,2011,6,12,1,22
winter,no,yes,cloudy,19.68,23.485,77,6.0032,4.44265125649032,2012,10,9,3,23
winter,yes,no,clear,12.3,14.395,61,12.998,2.19722457733622,2011,11,11,6,4
spring,no,yes,cloudy,9.84,12.12,87,8.9981,4.58496747867057,2012,1,11,4,10
summer,no,yes,clear,24.6,30.305,60,19.9995,1.09861228866811,2012,5,14,2,2
winter,no,yes,clear,16.4,20.455,87,0,4.74493212836325,2011,11,9,4,22
